Salton_Sea_Tracts,Total_Minutes
1500000US060250123021,49.30154629
1500000US060250124002,90.46958531
1500000US060250123011,86.37618412
1500000US060250123022,48.97830533
1500000US060250123023,35.01788191
1500000US060250124001,41.49927537
1500000US060250101021,30.1277934
1500000US060250102001,18.65156817
Average_Time,50.05276749
,
,
From_GEO_ID,Total_Minutes
1500000US060250121004,26.1953009
1500000US060250122001,27.19270684
1500000US060250122002,27.56289619
1500000US060250122003,29.49342041
1500000US060250122004,28.02015418
1500000US060250101022,18.11920325
1500000US060250101024,17.67281643
1500000US060250104001,6.77209547
1500000US060250104004,8.45689742
1500000US060250105002,3.79074676
1500000US060250106003,3.44164409
1500000US060250107002,5.53603001
1500000US060250109002,25.39210396
1500000US060250109004,24.20634902
1500000US060250110002,9.38018926
1500000US060250111003,21.82178435
1500000US060250113003,24.31387621
1500000US060250114002,17.90850033
1500000US060250115002,14.66348436
1500000US060250116001,16.7943
1500000US060250117001,19.17325223
1500000US060250118011,17.32278175
1500000US060250118023,15.91129479
1500000US060250120011,29.07982738
1500000US060250120012,28.35500972
1500000US060250121002,26.49838324
1500000US060250123012,40.05994585
1500000US060259400001,78.2950869
1500000US060259400002,70.54529407
1500000US060259400003,66.76053438
1500000US060250101011,25.46744103
1500000US060250101023,17.22690863
1500000US060250102002,11.20785611
1500000US060250103001,20.53547146
1500000US060250104002,6.06910008
1500000US060250104003,5.06620205
1500000US060250104005,7.19375242
1500000US060250105001,6.02783197
1500000US060250105003,6.43153293
1500000US060250105004,5.00295514
1500000US060250106001,2.88860823
1500000US060250106002,3.12417658
1500000US060250106004,0.54494571
1500000US060250107001,4.70541979
1500000US060250107003,6.01536641
1500000US060250108001,27.27127348
1500000US060250108002,27.01448425
1500000US060250109001,22.48871128
1500000US060250109003,24.79388775
1500000US060250109005,24.56319448
1500000US060250109006,24.90764783
1500000US060250110001,10.10089859
1500000US060250110003,10.50429073
1500000US060250110004,11.87145323
1500000US060250110005,12.62754917
1500000US060250110006,13.9342603
1500000US060250111001,25.51145917
1500000US060250111002,17.91163836
1500000US060250112011,13.87111577
1500000US060250112012,14.23795403
1500000US060250112023,14.52829235
1500000US060250113002,19.74382829
1500000US060250113004,23.38693714
1500000US060250114001,18.85807467
1500000US060250114003,18.25658637
1500000US060250115001,15.539831
1500000US060250115003,16.01907396
1500000US060250115004,14.8826402
1500000US060250116002,16.989349
1500000US060250116003,15.91226655
1500000US060250116004,17.9961968
1500000US060250117002,17.54629175
1500000US060250117003,18.31190677
1500000US060250118012,17.05914076
1500000US060250118021,16.87670426
1500000US060250118022,17.9005431
1500000US060250118024,17.21145368
1500000US060250118031,20.33146102
1500000US060250119001,25.43927694
1500000US060250119002,31.83750538
1500000US060250119003,25.86918617
1500000US060250120021,28.7220474
1500000US060250120022,27.65361032
1500000US060250121001,25.65569219
1500000US060250121003,27.82038967
1500000US060250113001,19.72731079
1500000US060250112021,14.68817735
1500000US060250112022,13.96942643
Average_Time,19.50666474