geoid,supply
60250121004,0
60250122001,0
60250122002,0
60250122003,0
60250122004,0
60250123021,0
60250124002,0
60250101022,0
60250101024,0
60250104001,0
60250104004,0
60250105002,0
60250106003,0
60250107002,0
60250109002,0
60250109004,0
60250110002,0
60250111003,0
60250113003,0
60250114002,0
60250115002,0
60250116001,0
60250117001,0
60250118011,0
60250118023,0
60250120011,0
60250120012,0
60250121002,0
60250123011,0
60250123012,0
60250123022,0
60250123023,0
60250124001,0
60259400001,0
60259400002,0
60259400003,0
60250101011,0
60250101021,0
60250101023,0
60250102001,0
60250102002,0
60250103001,0
60250104002,0
60250104003,0
60250104005,0
60250105001,0
60250105003,0
60250105004,0
60250106001,0
60250106002,0
60250106004,0
60250107001,0
60250107003,0
60250108001,0
60250108002,0
60250109001,0
60250109003,0
60250109005,0
60250109006,0
60250110001,0
60250110003,0
60250110004,0
60250110005,0
60250110006,0
60250111001,0
60250111002,0
60250112011,0
60250112012,0
60250112023,0
60250113002,0
60250113004,0
60250114001,0
60250114003,0
60250115001,0
60250115003,0
60250115004,0
60250116002,0
60250116003,0
60250116004,1
60250117002,1
60250117003,0
60250118012,0
60250118021,0
60250118022,0
60250118024,0
60250118031,0
60250119001,0
60250119002,0
60250119003,0
60250120021,0
60250120022,0
60250121001,0
60250121003,0
60250113001,0
60250112021,0
60250112022,0